id,date,store_nbr,family,onpromotion,city,state,type,cluster,dcoilwtico,transactions,holiday_type
3000888,736557,1,0.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000889,736557,1,1.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000890,736557,1,2.0,2,18.0,12.0,3.0,13,46.8,0.0,1.0
3000891,736557,1,3.0,20,18.0,12.0,3.0,13,46.8,0.0,1.0
3000892,736557,1,4.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000893,736557,1,5.0,12,18.0,12.0,3.0,13,46.8,0.0,1.0
3000894,736557,1,6.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000895,736557,1,7.0,25,18.0,12.0,3.0,13,46.8,0.0,1.0
3000896,736557,1,8.0,45,18.0,12.0,3.0,13,46.8,0.0,1.0
3000897,736557,1,9.0,18,18.0,12.0,3.0,13,46.8,0.0,1.0
3000898,736557,1,10.0,1,18.0,12.0,3.0,13,46.8,0.0,1.0
3000899,736557,1,11.0,1,18.0,12.0,3.0,13,46.8,0.0,1.0
3000900,736557,1,12.0,64,18.0,12.0,3.0,13,46.8,0.0,1.0
3000901,736557,1,13.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000902,736557,1,14.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000903,736557,1,15.0,2,18.0,12.0,3.0,13,46.8,0.0,1.0
3000904,736557,1,16.0,6,18.0,12.0,3.0,13,46.8,0.0,1.0
3000905,736557,1,17.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000906,736557,1,18.0,10,18.0,12.0,3.0,13,46.8,0.0,1.0
3000907,736557,1,19.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000908,736557,1,20.0,16,18.0,12.0,3.0,13,46.8,0.0,1.0
3000909,736557,1,21.0,5,18.0,12.0,3.0,13,46.8,0.0,1.0
3000910,736557,1,22.0,9,18.0,12.0,3.0,13,46.8,0.0,1.0
3000911,736557,1,23.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000912,736557,1,24.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000913,736557,1,25.0,18,18.0,12.0,3.0,13,46.8,0.0,1.0
3000914,736557,1,26.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000915,736557,1,27.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000916,736557,1,28.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000917,736557,1,29.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3000918,736557,1,30.0,256,18.0,12.0,3.0,13,46.8,0.0,1.0
3000919,736557,1,31.0,14,18.0,12.0,3.0,13,46.8,0.0,1.0
3000920,736557,1,32.0,0,18.0,12.0,3.0,13,46.8,0.0,1.0
3002670,736558,1,0.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002671,736558,1,1.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002672,736558,1,2.0,1,18.0,12.0,3.0,13,47.07,0.0,1.0
3002673,736558,1,3.0,17,18.0,12.0,3.0,13,47.07,0.0,1.0
3002674,736558,1,4.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002675,736558,1,5.0,7,18.0,12.0,3.0,13,47.07,0.0,1.0
3002676,736558,1,6.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002677,736558,1,7.0,7,18.0,12.0,3.0,13,47.07,0.0,1.0
3002678,736558,1,8.0,13,18.0,12.0,3.0,13,47.07,0.0,1.0
3002679,736558,1,9.0,7,18.0,12.0,3.0,13,47.07,0.0,1.0
3002680,736558,1,10.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002681,736558,1,11.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002682,736558,1,12.0,33,18.0,12.0,3.0,13,47.07,0.0,1.0
3002683,736558,1,13.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002684,736558,1,14.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002685,736558,1,15.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002686,736558,1,16.0,2,18.0,12.0,3.0,13,47.07,0.0,1.0
3002687,736558,1,17.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002688,736558,1,18.0,7,18.0,12.0,3.0,13,47.07,0.0,1.0
3002689,736558,1,19.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002690,736558,1,20.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002691,736558,1,21.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002692,736558,1,22.0,5,18.0,12.0,3.0,13,47.07,0.0,1.0
3002693,736558,1,23.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002694,736558,1,24.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002695,736558,1,25.0,7,18.0,12.0,3.0,13,47.07,0.0,1.0
3002696,736558,1,26.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002697,736558,1,27.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002698,736558,1,28.0,1,18.0,12.0,3.0,13,47.07,0.0,1.0
3002699,736558,1,29.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002700,736558,1,30.0,6,18.0,12.0,3.0,13,47.07,0.0,1.0
3002701,736558,1,31.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3002702,736558,1,32.0,0,18.0,12.0,3.0,13,47.07,0.0,1.0
3004452,736559,1,0.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004453,736559,1,1.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004454,736559,1,2.0,1,18.0,12.0,3.0,13,48.59,0.0,1.0
3004455,736559,1,3.0,12,18.0,12.0,3.0,13,48.59,0.0,1.0
3004456,736559,1,4.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004457,736559,1,5.0,10,18.0,12.0,3.0,13,48.59,0.0,1.0
3004458,736559,1,6.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004459,736559,1,7.0,6,18.0,12.0,3.0,13,48.59,0.0,1.0
3004460,736559,1,8.0,18,18.0,12.0,3.0,13,48.59,0.0,1.0
3004461,736559,1,9.0,52,18.0,12.0,3.0,13,48.59,0.0,1.0
3004462,736559,1,10.0,25,18.0,12.0,3.0,13,48.59,0.0,1.0
3004463,736559,1,11.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004464,736559,1,12.0,31,18.0,12.0,3.0,13,48.59,0.0,1.0
3004465,736559,1,13.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004466,736559,1,14.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004467,736559,1,15.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004468,736559,1,16.0,1,18.0,12.0,3.0,13,48.59,0.0,1.0
3004469,736559,1,17.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004470,736559,1,18.0,5,18.0,12.0,3.0,13,48.59,0.0,1.0
3004471,736559,1,19.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004472,736559,1,20.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004473,736559,1,21.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004474,736559,1,22.0,6,18.0,12.0,3.0,13,48.59,0.0,1.0
3004475,736559,1,23.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004476,736559,1,24.0,48,18.0,12.0,3.0,13,48.59,0.0,1.0
3004477,736559,1,25.0,9,18.0,12.0,3.0,13,48.59,0.0,1.0
3004478,736559,1,26.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004479,736559,1,27.0,1,18.0,12.0,3.0,13,48.59,0.0,1.0
3004480,736559,1,28.0,41,18.0,12.0,3.0,13,48.59,0.0,1.0
3004481,736559,1,29.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004482,736559,1,30.0,5,18.0,12.0,3.0,13,48.59,0.0,1.0
3004483,736559,1,31.0,0,18.0,12.0,3.0,13,48.59,0.0,1.0
3004484,736559,1,32.0,7,18.0,12.0,3.0,13,48.59,0.0,1.0
3006234,736560,1,0.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006235,736560,1,1.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006236,736560,1,2.0,1,18.0,12.0,3.0,13,47.39,0.0,1.0
3006237,736560,1,3.0,11,18.0,12.0,3.0,13,47.39,0.0,1.0
3006238,736560,1,4.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006239,736560,1,5.0,9,18.0,12.0,3.0,13,47.39,0.0,1.0
3006240,736560,1,6.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006241,736560,1,7.0,11,18.0,12.0,3.0,13,47.39,0.0,1.0
3006242,736560,1,8.0,20,18.0,12.0,3.0,13,47.39,0.0,1.0
3006243,736560,1,9.0,6,18.0,12.0,3.0,13,47.39,0.0,1.0
3006244,736560,1,10.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006245,736560,1,11.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006246,736560,1,12.0,32,18.0,12.0,3.0,13,47.39,0.0,1.0
3006247,736560,1,13.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006248,736560,1,14.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006249,736560,1,15.0,1,18.0,12.0,3.0,13,47.39,0.0,1.0
3006250,736560,1,16.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006251,736560,1,17.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006252,736560,1,18.0,7,18.0,12.0,3.0,13,47.39,0.0,1.0
3006253,736560,1,19.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006254,736560,1,20.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006255,736560,1,21.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006256,736560,1,22.0,7,18.0,12.0,3.0,13,47.39,0.0,1.0
3006257,736560,1,23.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006258,736560,1,24.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006259,736560,1,25.0,9,18.0,12.0,3.0,13,47.39,0.0,1.0
3006260,736560,1,26.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006261,736560,1,27.0,1,18.0,12.0,3.0,13,47.39,0.0,1.0
3006262,736560,1,28.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006263,736560,1,29.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006264,736560,1,30.0,6,18.0,12.0,3.0,13,47.39,0.0,1.0
3006265,736560,1,31.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3006266,736560,1,32.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008016,736561,1,0.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008017,736561,1,1.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008018,736561,1,2.0,1,18.0,12.0,3.0,13,47.39,0.0,1.0
3008019,736561,1,3.0,10,18.0,12.0,3.0,13,47.39,0.0,1.0
3008020,736561,1,4.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008021,736561,1,5.0,5,18.0,12.0,3.0,13,47.39,0.0,1.0
3008022,736561,1,6.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008023,736561,1,7.0,4,18.0,12.0,3.0,13,47.39,0.0,1.0
3008024,736561,1,8.0,17,18.0,12.0,3.0,13,47.39,0.0,1.0
3008025,736561,1,9.0,6,18.0,12.0,3.0,13,47.39,0.0,1.0
3008026,736561,1,10.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008027,736561,1,11.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008028,736561,1,12.0,24,18.0,12.0,3.0,13,47.39,0.0,1.0
3008029,736561,1,13.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008030,736561,1,14.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008031,736561,1,15.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008032,736561,1,16.0,1,18.0,12.0,3.0,13,47.39,0.0,1.0
3008033,736561,1,17.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008034,736561,1,18.0,4,18.0,12.0,3.0,13,47.39,0.0,1.0
3008035,736561,1,19.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008036,736561,1,20.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008037,736561,1,21.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008038,736561,1,22.0,4,18.0,12.0,3.0,13,47.39,0.0,1.0
3008039,736561,1,23.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008040,736561,1,24.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008041,736561,1,25.0,7,18.0,12.0,3.0,13,47.39,0.0,1.0
3008042,736561,1,26.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008043,736561,1,27.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
3008044,736561,1,28.0,0,18.0,12.0,3.0,13,47.39,0.0,1.0
